;
"Stück/Nom.";"Bezeichnung";"Notizen";"WKN";"Typ";"Währung";"Akt. Kurs";"Diff. abs";"Diff. %";"Wert in EUR";"Diff. abs";"Diff. %";"Datum";"Zeit";"Börse";"Kaufkurs in EUR";"Kaufwert in EUR";
"9,103";"JOHNSON + JOHNSON    DL 1";;"853260";"Aktie";"EUR";"137,64";"0,44";"+0,32%";"1.252,94";"+106,32";"+9,27%";"10.02.2021";"22:01:38";"Tradegate";"125,9607";"1.146,62";
"7,505";"ALLIANZ SE NA O.N.";;"840400";"Aktie";"EUR";"196,30";"1,46";"+0,75%";"1.473,23";"+88,44";"+6,39%";"10.02.2021";"17:44:43";"XETRA";"184,5157";"1.384,79";
"29,924";"UNILEVER PLC   LS-,031111";;"A0JNE2";"Aktie";"EUR";"45,03";"-0,08";"-0,18%";"1.347,48";"-94,78";"-6,57%";"10.02.2021";"22:01:38";"Tradegate";"48,1974";"1.442,26";
"56,728";"AT + T INC.          DL 1";;"A0HL9Z";"Aktie";"EUR";"23,56";"-0,065";"-0,28%";"1.336,51";"-131,07";"-8,93%";"10.02.2021";"22:01:38";"Tradegate";"25,8705";"1.467,58";
"50,512";"COCA-COLA CO.      DL-,25";;"850663";"Aktie";"EUR";"40,93";"-0,10";"-0,24%";"2.067,46";"+12,54";"+0,61%";"10.02.2021";"22:01:38";"Tradegate";"40,6818";"2.054,92";
"65,501";"EXXON MOBIL CORP.";;"852549";"Aktie";"EUR";"42,035";"0,49";"+1,18%";"2.753,34";"+510,15";"+22,74%";"10.02.2021";"17:35:36";"XETRA";"34,2467";"2.243,19";
"67,41";"ALTRIA GRP INC.   DL-,333";;"200417";"Aktie";"EUR";"35,94";"0,155";"+0,43%";"2.422,72";"-73,03";"-2,93%";"10.02.2021";"22:01:38";"Tradegate";"37,0233";"2.495,74";
"80,299";"BRIT.AMER.TOBACCO  LS-,25";;"916018";"Aktie";"EUR";"31,285";"-0,225";"-0,71%";"2.512,15";"-41,12";"-1,61%";"10.02.2021";"17:35:51";"XETRA";"31,797";"2.553,27";
"115,481";"ROYAL DUTCH SHELL A EO-07";;"A0D94M";"Aktie";"EUR";"15,814";"0,092";"+0,59%";"1.826,22";"-886,18";"-32,67%";"10.02.2021";"22:01:37";"Tradegate";"23,4879";"2.712,40";
"230";"IMPERIAL BRANDS PLC LS-10";;"903000";"Aktie";"EUR";"17,285";"0,285";"+1,68%";"3.975,55";"-664,60";"-14,32%";"10.02.2021";"17:35:52";"XETRA";"20,1746";"4.640,15";

"Depotwert";"EUR";"31.636,16";
"Kaufwert";"EUR";"31.696,43";
"Veränderung";"EUR";"-60,27";
" ";"%";"-0,19%";
"Beleihungswert";"EUR";"10.221,07";

"Enthält aktuell ausgeführte Orders: Nein";

"Aktuelle Wechselkurse:";
"1 EUR = 1,07891 CHF (10.02., 22:20)";



"DEPOTÜBERSICHT";
"Inhaber: ";"Testtest";
"Datum: ";"10.02.2021";"22:36";
"Kundennummer: ";"123123123";
